Inventor_ID,Award_ID,Year_Won,Award,Category,Country,Institution
110001,220001,1875,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110002,220001,1875,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110003,220001,1875,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110003,220017,1870,US Patent,Science and Technology,USA,United States Patent Law
110003,220018,1870,UK Patent,Science and Technology,UK,United Kingdom Patent Law
110003,220001,1871,Medal of Honour ,Science and Technology,USA,American Institute of City of New York
110004,220001,1875,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110004,220019,1876,Bronze Medal,Science and Technology,USA,United States Centennial Commission
110004,220020,1878,Silver Medal and Diploma,Science and Technology,France,Committee of Awards on Microscopes of the Paris Exhibition
110005,220002,1887,Matteucci Medal,Science and Technology,Italy,Italian Society of Sciences
110005,220003,1889,John Scott Medal,Science and Technology,USA,The Franklin Institute
110005,220004,1899,Edward Longstreth Medal,Science and Technology,USA,The Franklin Institute
110005,220005,1908,John Fritz Medal.,Science and Technology,USA,American Association of Engineering Societies
110005,220006,1915,Franklin Medal,Science and Technology,USA,The Franklin Institute
110005,220007,1920,Navy Distinguished Service Medal,Science and Technology,USA,United States Navy
110005,220008,1923,Edison Medal,Science and Technology,USA,American Institute of Electrical Engineers
110005,220009,1928,Congressional Gold Medal,Science and Technology,USA,United States Congress
110005,220010,2010,Technical Grammy Award.,Science and Technology,USA,The Recording Academy
110005,220011,1887,Member of Royal Swedish Academy of Sciences.,Science and Technology,Sweden,Royal Swedish Academy of Sciences.
110005,220012,1904,Honorable Consulting Engineer,Science and Technology,USA,Louisiana Purchase ExpositionæWorld's fair
110005,220013,1927,Member of National Academy of Sciences,Science and Technology,USA,National Academy of Sciences.
110005,220014,1983,"February 11, National Inventors Day",Science and Technology,USA,United States Congress
110005,220015,2008,New Jersey Hall of Fame.,Historical Inductee,USA,New Jersey Hall of Fame.
110005,220016,2011,Entrepreneur Walk of Fame,Historical Entrepreneural Inductee,USA,Entrepreneur Walk of Fame
110006,220003,1882,John Scott Medal,Science and Technology,USA,The Franklin Institute
110006,220001,1881,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110007,220001,1886,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110007,220001,1896,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110007,220003,1882,John Scott Medal,Science and Technology,USA,The Franklin Institute
110008,220001,1886,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110009,220001,1886,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110010,220001,1889,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110011,220001,1889,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110011,220003,1891,John Scott Medal,Science and Technology,USA,The Franklin Institute
110012,220001,1890,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110013,220001,1890,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110014,220001,1891,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110015,220001,1891,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110016,220001,1891,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110017,220001,1892,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110018,220001,1893,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110019,220001,1893,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110020,220001,1894,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110021,220001,1895,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110022,220001,1896,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110023,220001,1897,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110024,220001,1897,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110025,220001,1897,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110026,220001,1897,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110027,220001,1898,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110028,220001,1898,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110029,220001,1898,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110030,220001,1900,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110031,220001,1901,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110032,220001,1901,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110033,220001,1902,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110034,220001,1903,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110035,220001,1903,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110036,220001,1904,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110037,220001,1904,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110038,220001,1905,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110039,220001,1906,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110040,220001,1907,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110041,220001,1908,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110042,220001,1908,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110043,220024,1910,Albert Medal,Arts,UK,"Royal Society of Arts, London"
110043,220023,1903,Davy Medal,Sciences,UK,Royal Society of London
110043,220022,1911,Nobel Price in Chemistry ,Chemistry,Sweden,Royal Swedish Academy of Sciences
110043,220021,1903,Nobel Price in Physics,Physics,Sweden,Royal Swedish Academy of Sciences
110043,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110044,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110045,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110046,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110047,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110048,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110049,220001,1909,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110050,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110051,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110052,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110053,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110054,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110055,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110056,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110057,220001,1910,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110058,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110059,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110060,220021,1907,Nobel Price in Physics,Physics,Sweden,Royal Swedish Academy of Sciences
110060,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110061,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110062,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110063,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110064,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110065,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110066,220001,1912,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110067,220001,1913,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110068,220001,1913,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110069,220001,1913,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110070,220001,1913,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110071,220001,1913,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110072,220001,1913,Elliott Cresson Medal,Science and Technology,USA,The Franklin Institute
110073,220024,1905,Albert Medal,Arts,UK,"Royal Society of Arts, London"
110073,220021,1904,Nobel Price in Physics,Physics,Sweden,Royal Swedish Academy of Sciences
