Inventor_ID,Year,Inventor,Category,Invention,Motivation
110001,1875,William Gibson A. Bonwill,Life Science,Electro Magnetic Dental Mallet,The application of scientific investigations and engineering research for the benefit of humans. To impove the working standards in sinus lift and split crest practice.
110002,1875,William Weightman,Engineering,Drug Manufacturing,The first manufacturers ofÊsulfateÊofÊquinineÊin the United States. Used mainly to treat malaria.
110003,1875,Benjamin Chew Tilghman,Engineering,Sand Blast,"The effect of wind-blown sand on windows in the desert while a general in the army, and that this was the basis of the sandblasting invention."
110004,1875,Joseph Zentmayer,Engineering,Microscopes and Objectives,The application of scientific investigations and engineering research for the benefit of humans. Creation of the glorious Centennial model.
110005,1879,Thomas Alva Edison,Engineering,Light Bulb ,"One of the first inventors to apply the principles of mass production and large-scale teamwork to the process of invention, and is often credited with the creation of the first industrial.research laboratory"
110006,1881,W. Woodnut Griscom,Engineering,Electric Induction Motor and Battery,The application of scientific investigations and engineering research for the benefit of humans. For the purpose of marine propulsion.
110007,1886,Patrick Bernard Delany,Engineering,Synchronous Telegraphy,The application of scientific investigations and engineering research for the benefit of humans.
110008,1886,Thaddeus S. C. Lowe,Engineering,Water Gas Process and Apparatus,The application of scientific investigations and engineering research for the benefit of humans.
110009,1886,France Pratt,Engineering,System of Interchangeable Cut Gears,The application of scientific investigations and engineering research for the benefit of humans.
110010,1889,Edward Alfred Cowper,Invention,Writing Telegraph,The application of scientific investigations and engineering research for the benefit of humans.
110011,1889,Ottmar Mergenthaler,Engineering,Linotype machine,The application of scientific investigations and engineering research for the benefit of humans.
110012,1890,James B. Hammond,Engineering,Typewriter Improvements,The application of scientific investigations and engineering research for the benefit of humans.
110013,1890,Herman Hollerith,Computer and Cognitive Science,Electric Tabulating Device,The application of scientific investigations and engineering research for the benefit of humans.
110014,1891,Bradley Allen Fiske,Engineering,Rangefinder,The application of scientific investigations and engineering research for the benefit of humans.
110015,1891,Tinius Olsen,Engineering,Testing Machine,The application of scientific investigations and engineering research for the benefit of humans.
110016,1891,Samuel M. Vauclain,Engineering,Compound Locomotive,The application of scientific investigations and engineering research for the benefit of humans.
110017,1892,Henry M. Howe,Engineering,Metallurgy of Steel,The application of scientific investigations and engineering research for the benefit of humans.
110018,1893,Frederic Eugene Ives,Engineering,Color photography,The application of scientific investigations and engineering research for the benefit of humans.
110019,1893,Paul von Jank,Engineering,Jank piano keyboard,The application of scientific investigations and engineering research for the benefit of humans.
110020,1894,Nikola Tesla,Engineering,Alternating Electric Currents of High Frequency,The application of scientific investigations and engineering research for the benefit of humans.
110021,1895,Lester Allan Pelton,Engineering,Water Wheel,The application of scientific investigations and engineering research for the benefit of humans.
110022,1896,Tolbert Lanston,Invention,Monotype Machine,The application of scientific investigations and engineering research for the benefit of humans.
110023,1897,Hamilton Y. Castner,Engineering,Process of electrolytic decomposing of alkaline chlorides,The application of scientific investigations and engineering research for the benefit of humans.
110024,1897,Elisha Gray,Engineering,Telautograph,The application of scientific investigations and engineering research for the benefit of humans.
110025,1897,Charles Francis Jenkins,Invention,Phantoscope projector,The application of scientific investigations and engineering research for the benefit of humans.
110026,1897,Wilhelm Conrad Rntgen,Physics,Discovery of X-Rays,The application of scientific investigations and engineering research for the benefit of humans.
110027,1898,Wilbur Olin Atwater,Engineering,Respiration Calorimeter,The application of scientific investigations and engineering research for the benefit of humans.
110028,1898,Henri Moissan,Engineering,Investigations with his electric furnace,The application of scientific investigations and engineering research for the benefit of humans.
110029,1898,Edward Bennett Rosa,Engineering,Respiration Calorimeter,The application of scientific investigations and engineering research for the benefit of humans.
110030,1900,Carl Auer von Welsbach,Chemistry,Discoveries regarding metallic oxides,The application of scientific investigations and engineering research for the benefit of humans.
110031,1901,Rudolph Diesel,Engineering,Diesel engine,The application of scientific investigations and engineering research for the benefit of humans.
110032,1901,Lewis M. Haupt,Engineering,Reaction Breakwater,The application of scientific investigations and engineering research for the benefit of humans.
110033,1902,Fred W. Taylor,Engineering,Process of Treating Tool Steel,The application of scientific investigations and engineering research for the benefit of humans.
110034,1903,Victor Goldschmidt,Engineering,Theory of Musical Harmony,The application of scientific investigations and engineering research for the benefit of humans.
110035,1903,Frank J. Sprague,Engineering,System of Electric Traction,The application of scientific investigations and engineering research for the benefit of humans.
110036,1904,James Mapes Dodge,Engineering,System of Storing Coal,The application of scientific investigations and engineering research for the benefit of humans.
110037,1904,Hans Goldschmidt,Physics,Alumino-Thermics,The application of scientific investigations and engineering research for the benefit of humans.
110038,1905,Michael Idvorsky Pupin,Physics,Reducing Attenuation of Electrical Waves,The application of scientific investigations and engineering research for the benefit of humans.
110039,1906,William Joseph Hammer,Engineering,Historic Collection of Incandescent Electric Lamps,The application of scientific investigations and engineering research for the benefit of humans.
110040,1907,Edward R. Taylor,Chemistry,Electric Furnace Manufacture of Carbon bisulfide,The application of scientific investigations and engineering research for the benefit of humans.
110041,1908,Romeyn Beck Hough,Engineering,Uses of American Woods,The application of scientific investigations and engineering research for the benefit of humans.
110042,1908,Anatole Mallet,Engineering,Improved Articulated Compound Locomotive,The application of scientific investigations and engineering research for the benefit of humans.
110043,1909,Marie Curie,Chemistry,The discovery of radium,The application of scientific investigations and engineering research for the benefit of humans.
110044,1909,Pierre Curie,Chemistry,The discovery of radium,The application of scientific investigations and engineering research for the benefit of humans.
110045,1909,Wolfgang Gaede,Engineering,Molecular Air Pump,The application of scientific investigations and engineering research for the benefit of humans.
110046,1909,James Gayley,Engineering,Dry air blast in blast furnace operation,The application of scientific investigations and engineering research for the benefit of humans.
110047,1909,Auguste and Louis Lumire,Engineering,Color photography,The application of scientific investigations and engineering research for the benefit of humans.
110048,1909,George Owen Squier,Engineering,Multiplex Telephony,The application of scientific investigations and engineering research for the benefit of humans.
110049,1909,H. A. Wise Wood,Engineering,The Autoplate Machine,The application of scientific investigations and engineering research for the benefit of humans.
110050,1910,John A. Brashear,Physics,Distinguished work in astronomical instruments,The application of scientific investigations and engineering research for the benefit of humans.
110051,1910,John Fritz,Engineering,Distinguished work in iron and steel industries,The application of scientific investigations and engineering research for the benefit of humans.
110052,1910,Robert Abbott Hadfield,Engineering,Distinguished work in metallurgical sciences,The application of scientific investigations and engineering research for the benefit of humans.
110053,1910,Peter Cooper Hewitt,Invention,Mercury rectifier,The application of scientific investigations and engineering research for the benefit of humans.
110054,1910,Ernest Rutherford,Engineering,Distinguished work in electrical theory,The application of scientific investigations and engineering research for the benefit of humans.
110055,1910,Joseph John Thomson,Physics,For distinguished work in physical sciences,The application of scientific investigations and engineering research for the benefit of humans.
110056,1910,Edward Weston,Engineering,Distinguished work in electrical discovery,The application of scientific investigations and engineering research for the benefit of humans.
110057,1910,Harvey W. Wiley,Life Science,Distinguished work in agricultural chemistry,The application of scientific investigations and engineering research for the benefit of humans.
110058,1912,Alexander Graham Bell,Engineering,Electrical Transmission of Articulate Speech,The application of scientific investigations and engineering research for the benefit of humans.
110059,1912,William Crookes,Chemistry,Discoveries in Chemistry,The application of scientific investigations and engineering research for the benefit of humans.
110060,1912,Albert A. Michelson,Physics,Investigations in physical optics,The application of scientific investigations and engineering research for the benefit of humans.
110061,1912,Edward Williams Morley,Chemistry,Determination of fundamental magnitudes in chemistry,The application of scientific investigations and engineering research for the benefit of humans.
110062,1912,Alfred E Noble,Engineering,Distinguished work in_ivil engineering,The application of scientific investigations and engineering research for the benefit of humans.
110063,1912,Sir Henry Enfield Roscoe,Chemistry,Important Research in Chemistry,The application of scientific investigations and engineering research for the benefit of humans.
110064,1912,Samuel Wesley Stratton,Engineering,Distinguished work in_etrology,The application of scientific investigations and engineering research for the benefit of humans.
110065,1912,Elihu Thomson,Engineering,Industrial applications of electricity,The application of scientific investigations and engineering research for the benefit of humans.
110066,1912,Adolf von Baeyer,Chemistry,Extended research in_rganic chemistry,The application of scientific investigations and engineering research for the benefit of humans.
110067,1913,Emile Berliner,Engineering,Contributions to telephony and science of sound reproduction,The application of scientific investigations and engineering research for the benefit of humans.
