Inventor_ID,Inventor,Nationality,Place,Occupation
110001,William Gibson A. Bonwill,American,"Philadelphia, USA",Dentist
110002,William Weightman,British,"Waltham, England",Chemical Manufacturer 
110003,Benjamin Chew Tilghman,American,"Philadelphia, USA",Soilder and Inventor
110004,Joseph Zentmayer,German,"Manheim, Germany",Optical Instruments Manufacturer
110005,Thomas Alva Edison,American,"Ohio, USA",Entrepreneur and Inventor
110006,W. Woodnut Griscom,American,"Pennsylvania, USA",Inventor
110007,Patrick Bernard Delany,Irish-American,"King's Country, Ireland",Electrician and Inventor
110008,Thaddeus S. C. Lowe,American,"New Hampshire, USA","Aeronaut, Scientist and Inventor"
110009,Francis A. Pratt,American,"Conneticuit, USA",Mechanical Engineer and Inventor 
110010,Edward Alfred Cowper,British,"London, England",Mechanical Engineer
110011,Ottmar Mergenthaler,German,"Hacthel, Germany",Inventor
110012,James B. Hammond,American,"Boston, USA","Journalist, inventor, entrepreneur, and philanthropist"
110013,Herman Hollerith,American,"Buffalo, USA",Inventor
110014,Bradley Allen Fiske,American,"Lyons, New York, USA",Officer US Navy
110015,Tinius Olsen,Norwegian,"Buskerud, Norway",Engineer and Inventor 
110016,Samuel M. Vauclain,American,"Pennsylvania, USA",Engineer and Inventor 
110017,Henry M. Howe,American,"Boston, USA",Metallurgist
110018,Frederic Eugene Ives,American,"Conneticuit, USA",Photographer
110019,Paul von Jank,Hungarian,"Vienna, Austria",Pianist and Engineer
110020,Nikola Tesla,Serbian-American,"New York, USA","Inventor, Electrical engineer, Mechanical engineer, Physicist, and Futurist"
110021,Lester Allan Pelton,American,"Ohio, USA",Inventor
110022,Tolbert Lanston,American,"Ohio, USA",Founder of Monotype
110023,Hamilton Y. Castner,American,"Brooklyn, USA",Industrial Chemist
110024,Elisha Gray,American,"Ohio, USA",Electrical Engineer
110025,Charles Francis Jenkins,American,"Ohio, USA",Inventor
110026,Wilhelm Conrad Ro_ntgen,German,"Lennep, Germany",Mechanical Engineer and Physisict
110027,Wilbur Olin Atwater,American,"New York, USA",Chemist
110028,Henri Moissan,French,"Paris, France",Chemist
110029,Edward Bennett Rosa,American,"New York, USA",Physisict
110030,Carl Auer von Welsbach,Austrian,"Vienna, Austria",Scientist and Inventor
110031,Rudolph Diesel,German,"Paris, France",Mechanical Engineer and Inventor 
110032,Lewis M. Haupt,American,"Pennsylvania, USA",Civil Engineer
110033,Fred W. Taylor,American,"Philadelphia, USA",Mechanical Engineer and Inventor 
